,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
98408,2021-02-20,44109806,106505883,0,37203.0,36.15457,-86.77091,Apartment,Entire home/apt,6,1.0,3.0,157.0,2.0,1125.0,22,50,80,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1,121.0,0.04076712328767123,194.67999999999998,1,Downtown
98409,2021-02-20,44118330,132613025,1,37207.0,36.19431,-86.7734,House,Entire home/apt,10,3.0,12.0,110.0,2.0,182.0,14,44,74,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,43.0,0.09468493150684931,316.8,1,East_Nashville
98410,2021-02-19,44118481,349191645,1,37203.0,36.16421,-86.78439,Apartment,Entire home/apt,4,1.0,2.0,184.0,1.0,1125.0,25,55,85,17,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,3.0,0.4063561643835616,2274.24,1,Downtown
98411,2021-02-19,44118566,349191645,1,37203.0,36.16229000000001,-86.78584000000002,Apartment,Entire home/apt,4,1.0,2.0,184.0,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0.0,1,Downtown
98412,2021-02-19,44118659,349191645,1,37203.0,36.1626,-86.78645,Apartment,Entire home/apt,2,1.0,1.0,150.0,1.0,1125.0,20,43,68,3,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1,3.0,0.0789041095890411,360.0,1,Downtown
98413,2021-02-20,44119656,195981149,1,37203.0,36.15413,-86.77585,Apartment,Entire home/apt,5,1.0,2.0,147.0,1.0,1125.0,17,40,64,25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0,0.5260273972602739,2351.9999999999995,1,Downtown
98414,2021-02-20,44119953,338406456,1,37203.0,36.16837,-86.80264,House,Entire home/apt,12,4.0,8.0,126.0,1.0,1125.0,24,45,64,33,96.0,10.0,9.0,10.0,10.0,9.0,10.0,1,3.0,0.5260273972602739,2016.0,1,Downtown
98415,2021-02-21,44121352,72789245,0,37209.0,36.15038,-86.83969,Apartment,Entire home/apt,2,1.0,2.0,135.0,1.0,7.0,0,0,0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.12361643835616437,507.59999999999997,0,West_Nashville
98416,2021-02-20,44121725,338406456,1,37203.0,36.16838,-86.80265,House,Entire home/apt,12,4.0,8.0,132.0,1.0,1125.0,20,37,57,35,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,3.0,0.7,2810.5,1,Downtown
98417,2021-02-19,44121823,338406456,1,37203.0,36.16937,-86.80125,House,Entire home/apt,16,8.0,16.0,411.0,2.0,1125.0,19,34,53,1,100.0,10.0,10.0,10.0,10.0,8.0,8.0,1,3.0,0.019726027397260273,246.6,1,Downtown
